title,rating,year,duration_minutes,metascore,actors,detail_url,external_id,platform
The Shawshank Redemption,9.3,1994,142,82,"Tim Robbins, Morgan Freeman, Bob Gunton",https://www.imdb.com/title/tt0111161/,tt0111161,IMDB
The Godfather,9.2,1972,175,100,"Marlon Brando, Al Pacino, James Caan",https://www.imdb.com/title/tt0068646/,tt0068646,IMDB
The Dark Knight,9.1,2008,152,85,"Christian Bale, Heath Ledger, Aaron Eckhart",https://www.imdb.com/title/tt0468569/,tt0468569,IMDB
The Godfather Part II,9.0,1974,202,90,"Al Pacino, Robert De Niro, Robert Duvall",https://www.imdb.com/title/tt0071562/,tt0071562,IMDB
12 Angry Men,9.0,1957,96,97,"Henry Fonda, Lee J. Cobb, Martin Balsam",https://www.imdb.com/title/tt0050083/,tt0050083,IMDB
The Lord of the Rings: The Return of the King,9.0,2003,201,94,"Elijah Wood, Viggo Mortensen, Ian McKellen",https://www.imdb.com/title/tt0167260/,tt0167260,IMDB
Schindler's List,9.0,1993,195,95,"Liam Neeson, Ralph Fiennes, Ben Kingsley",https://www.imdb.com/title/tt0108052/,tt0108052,IMDB
Pulp Fiction,8.8,1994,154,95,"John Travolta, Uma Thurman, Samuel L. Jackson",https://www.imdb.com/title/tt0110912/,tt0110912,IMDB
The Lord of the Rings: The Fellowship of the Ring,8.9,2001,178,92,"Elijah Wood, Ian McKellen, Orlando Bloom",https://www.imdb.com/title/tt0120737/,tt0120737,IMDB
"Il buono, il brutto, il cattivo",8.8,1966,178,90,"Clint Eastwood, Eli Wallach, Lee Van Cleef",https://www.imdb.com/title/tt0060196/,tt0060196,IMDB
Forrest Gump,8.8,1994,142,82,"Tom Hanks, Robin Wright, Gary Sinise",https://www.imdb.com/title/tt0109830/,tt0109830,IMDB
The Lord of the Rings: The Two Towers,8.8,2002,179,87,"Elijah Wood, Viggo Mortensen, Ian McKellen",https://www.imdb.com/title/tt0167261/,tt0167261,IMDB
Fight Club,8.8,1999,139,67,"Brad Pitt, Edward Norton, Meat Loaf",https://www.imdb.com/title/tt0137523/,tt0137523,IMDB
Inception,8.8,2010,148,74,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",https://www.imdb.com/title/tt1375666/,tt1375666,IMDB
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,124,82,"Mark Hamill, Harrison Ford, Carrie Fisher",https://www.imdb.com/title/tt0080684/,tt0080684,IMDB
The Matrix,8.7,1999,136,73,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",https://www.imdb.com/title/tt0133093/,tt0133093,IMDB
GoodFellas,8.7,1990,145,92,"Robert De Niro, Ray Liotta, Joe Pesci",https://www.imdb.com/title/tt0099685/,tt0099685,IMDB
Interstellar,8.7,2014,169,74,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",https://www.imdb.com/title/tt0816692/,tt0816692,IMDB
One Flew Over the Cuckoo's Nest,8.7,1975,133,84,"Jack Nicholson, Louise Fletcher, Michael Berryman",https://www.imdb.com/title/tt0073486/,tt0073486,IMDB
Se7en,8.6,1995,127,65,"Morgan Freeman, Brad Pitt, Kevin Spacey",https://www.imdb.com/title/tt0114369/,tt0114369,IMDB
It's a Wonderful Life,8.6,1946,130,89,"James Stewart, Donna Reed, Lionel Barrymore",https://www.imdb.com/title/tt0038650/,tt0038650,IMDB
The Silence of the Lambs,8.6,1991,118,86,"Jodie Foster, Anthony Hopkins, Scott Glenn",https://www.imdb.com/title/tt0102926/,tt0102926,IMDB
Shichinin no samurai,8.6,1954,207,98,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",https://www.imdb.com/title/tt0047478/,tt0047478,IMDB
